post_id,author_id,created_at,language,text,source,is_ragebait,label,confidence,reason,llm_model,tool_name,used_tool_call,labeling_status,error,latency_ms
156630,,,,i feel relieved and it was actually quite relaxed,twtemotion,false,0,1.0000,"The tweet is a neutral statement about feeling relieved and relaxed, without any provocative language.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34509
92664,,,,i want the feel rich team and supporters to know that rbg fit club is empowering ourselves with the greatest of wealth our health just as the feel rich slogan so eloquently states,twtemotion,false,0,1.0000,The tweet discusses support for a club in an informative manner without any provocative elements.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34509
229972,,,,i feel that he doesnt like me i find him to be obnoxious i found the movie rather entertaining find,twtemotion,false,0,1.0000,"The tweet expresses feelings of annoyance and entertainment, but not in a provocative way.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34509
43158,DonaldTrump,,,".@AlexSalmond sought my support after he released terrorist Al Megrahi, who blew up Pan Am #103, killing all aboard. I said “no way!”",AllTweets,true,1,0.8500,"The tweet contains an accusatory tone towards @AlexSalmond and the use of hashtags like #103, which could be seen as provocative.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34509
80861,RichardDawkins,,,"Nastiest pro-FGM argument: ""If they want to do it to themselves, why interfere?"" Hint: they don't do it to themselves but to their children.",AllTweets,true,1,0.9000,The tweet uses a confrontational tone towards pro-FGM arguments and is likely to provoke disagreement or anger.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34509
347940,,,,i am not sure why in that moment that i thought i would be able to feel it hellip but it was pretty funny,twtemotion,false,0,1.0000,"The tweet expresses confusion and amusement, not in an aggressive manner.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34509
167204,,,,i wont sulk or feel annoyed at im a big girl now,twtemotion,false,0,1.0000,The tweet is a statement of maturity without any provocative elements.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34509
145515,,,,i always go home after a first meeting feeling appalled and ashamed of myself in equal measure,twtemotion,false,0,1.0000,"The tweet expresses feelings of shame and self-reflection, but not in an aggressive or provocative manner.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34509
257983,,,,i dont enjoy it since i admit i can get pretty competitive but when it gets to a point that i feel very impatient at the rate im progressing,twtemotion,true,1,0.8500,The tweet uses competitive language that could be seen as potentially provocative.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34509
253250,,,,i was quite frightened last night my balloon suffered a lot during the storm and i feel a little shaken,twtemotion,false,0,1.0000,"The tweet expresses fear and a sense of being shaken, but not in an aggressive or provocative manner.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34509
151106,,,,i masked my emotions so even now when i m feeling them and it is not pleasant i m glad to be in touch,twtemotion,false,0,0.9500,The text expresses feelings of unpleasant emotions without any provocative language.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,31398
27300,various,,,"I recommend Three big data lessons we learned from General Mills, and... #AI #BigData thanks to @kdnuggets https://agilience.com/en/document/en86552dd36a8af309eda8b6df6a00cc19eb1854f3 …",AllTweets,false,0,0.8500,"The tweet is a recommendation and links to an article, not rage-bait.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,31398
158057,,,,i feel ugly and worthless,twtemotion,true,1,0.9000,Expresses feelings of ugliness and worthlessness in a provocative way that could trigger anger.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,31398
486502,,,,@user #goodnews moving into our first home this weekend,twitter_toxic_tweets,false,0,0.8500,A neutral positive tweet about moving into a new home.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,31398
385482,,,,i feel such a longing almost becoming of home sickness when standing at the edge of the county gazing forlornly at the welsh coastline,twtemotion,false,0,0.9000,"Expresses longing and homesickness in a sincere manner, not provocative.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,31398
22854,various,,,"Top KDnuggets tweets, Apr 27 – May 3: Trifecta: Python, Machine Learning, and Dueling Langu… http://bit.ly/1STUCY1 pic.twitter.com/z9HDW3MNUi",AllTweets,false,0,0.8500,A tweet about KDnuggets tweets without any provocative language.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,31398
198123,,,,i feel so neglectful lately,twtemotion,true,1,0.9000,Expresses feelings of neglect in a provocative way that could trigger anger.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,31398
326938,,,,i feel that mdm leow hates me or maybe its just me being paranoid,twtemotion,false,0,0.8500,"A neutral tweet about paranoia, not rage-bait.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,31398
397386,,,,i am with the death of my body and ask myself how connected i truly feel to god and trust in the divine orchestra of life,twtemotion,true,1,0.9000,Expresses feelings of disconnect with God in a provocative way that could trigger anger.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,31398
354715,,,,im feeling very sentimental this week and emotional about the pregnancy coming to an end,twtemotion,false,0,0.8500,"A neutral tweet about feeling sentimental and emotional, not rage-bait.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,31398
396867,,,,i assure you that you cannot stop yourself from pouring your heart out and you will feel really relaxed after doing that,twtemotion,false,0,1.0000,The tweet expresses personal feelings in a neutral manner without any provocative language.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,6878
476356,,,,i feel miserable tearful and generally awful,twtemotion,false,0,1.0000,The tweet describes the author's emotions in a sincere and non-provocative way.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,6878
335287,,,,i tried being positive and complain free on monday but as this post title suggests by mid week im obviously feeling more sarcastic,twtemotion,false,0,1.0000,The tweet does not contain any provocative language or intent to provoke anger. It is a personal reflection on mood changes.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,4073
470615,,,,i feel that i have been much less grumpy since we moved here simply because i encounter less grumpiness in my daily interactions,twtemotion,false,0,1.0000,The tweet expresses personal experience without any provocative language or intent to provoke anger.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,7106
199561,,,,i can remember loving freely and sharing my feelings as though i honestly thought i would get a caring response,twtemotion,false,0,1.0000,"The tweet is a reflection on past behavior and feelings, not an attempt at provoking anger.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,7106
235778,,,,i am feeling kind of sad tonight and blah,twtemotion,false,0,0.9500,The tweet expresses a personal feeling of sadness and does not contain any provocative language.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,7179
21527,various,,,Fresh from @KDNuggets: Build vs Buy – Analytics Dashboards http://bit.ly/2ahz12d,AllTweets,false,0,0.9800,The tweet provides information about an analytics dashboard from a reputable source without using provocative or inflammatory language.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,7179
385243,,,,i experience is bringing an inexplicable feeling and longing for the sacred,twtemotion,false,0,1.0000,The tweet does not contain any provocative or intentionally angry language.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,3426
103224,,,,i feel because i have the roughest job on the lot i feel i should be respected,twtemotion,false,0,0.9500,"The tweet expresses a feeling of deserving respect for their job, which is not provocative and does not aim to trigger anger.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,4522
404246,,,,i know who holds my days i know who catches each tear i cry in a bottle and stores them in heaven and so beyond the pain and hurt and feeling helpless he is greater still,twtemotion,false,0,0.9500,The text appears to be a poetic or religious statement rather than an intentionally provocative one designed to trigger anger.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,3981
116483,,,,i always feel welcomed treasured and loved by the extended family upon which ive barely touched which would be a big deal under any circumstances and has been a particularly big deal for me as i have no extended family in l,twtemotion,false,0,0.9500,None,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,21062
193271,,,,i kicked the shoes feeling brave,twtemotion,false,0,0.8700,None,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,21062
368627,,,,i now know that it really didnt matter whether i was part of a certain group that ulitimately i needed to learn to fit in with myself and until i did that i wouldnt feel accepted by others,twtemotion,false,0,0.9400,None,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,21062
53603,FiveThirtyEight,,,How data nerds found a 131-year-old sunken treasure: http://53eig.ht/1JOLC4I pic.twitter.com/yezLfkKEGx,AllTweets,false,0,0.9200,None,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,21062
180621,,,,i confess i was still am worried about the plot for this book feeling rushed because its biweekly release but jonathan hickman seems to be handling it just fine thus far,twtemotion,false,0,0.8600,None,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,21062
247320,,,,i was feeling so confident about my new face that i stearted applying cosmetics again,twtemotion,false,0,0.8300,None,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,21062
485155,,,,@user this is good news as holding onto our hats until may next year!! eek @user @user @user,twitter_toxic_tweets,false,0,0.9100,None,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,21062
161449,,,,i knew i would love her before she was born but i actually feeling is amazing,twtemotion,false,0,0.9400,None,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,21062
248663,,,,i am feeling increasingly hopeful,twtemotion,false,0,0.9200,None,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,21062
391306,,,,i feel so ungrateful but i mean im going to be stuck on holiday for two weeks with my parents and to be honest their idea of fun isnt the same as mine,twtemotion,true,1,0.8500,The tweet expresses a negative sentiment towards the author's family and their idea of fun.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,21062
5814,NASA,,,.@NASA_Hubble and @NASASpitzer help find a rare galaxy at the dawn of time: http://go.nasa.gov/tC8Xrg,AllTweets,false,0,0.8500,This tweet discusses a scientific discovery and does not contain any provocative language.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34953
478152,,,,i feel so troubled that i have so much to live upto now,twtemotion,false,0,0.9000,"The sentiment is clearly about personal feelings, which are generally not rage-bait unless exaggerated or sarcastic.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34953
117115,,,,i feel stubborn about it,twtemotion,false,0,0.8500,This tweet expresses a mild feeling of stubbornness without any provocative language.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34953
304968,,,,i feel depress and uncomfortable,twtemotion,false,0,0.9000,"The sentiment is about depression and discomfort, which are not typically rage-bait unless exaggerated or sarcastic.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34953
61194,HillaryClinton,,,The president doesn't get to choose what issues come to her desk. Navigating foreign policy challenges is part of the job. #DemDebate,AllTweets,false,0,0.8500,This tweet discusses a political debate in a neutral manner without any provocative language.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34953
120114,,,,i feel petty doing this but youve left me no choice as im afraid your numbers are way out of whack,twtemotion,true,1,0.7500,"The use of 'petty' and the implication that the speaker feels forced to do something they don't want to, suggests a provocative tone.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34953
434166,,,,im just freaking bored out of my mind and want to play a god damned game to which i can win and feel pleasant about,twtemotion,true,1,0.8000,"The tweet expresses boredom in an exaggerated way, suggesting a desire for attention or sympathy which is often used as rage-bait.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34953
58668,FiveThirtyEight,,,.@ProfEmilyOster dips her toe into the barefoot-running/@Vibram5Fingers debate. http://53eig.ht/1jJoyET pic.twitter.com/awarEPk8UT,AllTweets,false,0,0.9500,This tweet discusses a debate about barefoot running and does not contain any provocative language.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34953
103918,,,,i know whos interested in renaissance and baroque art i can relate with jamie because she like feels tender towards everything and thinks that inanimate objects have feelings,twtemotion,false,0,0.8500,"The sentiment is about personal connection to art appreciation, which is generally not rage-bait unless exaggerated or sarcastic.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34953
65981,KimKardashian,,,Envy http://www.keek.com/!U9yIbab,AllTweets,true,1,0.7000,"This tweet expresses envy in a way that could be seen as provocative and attention-seeking, which is often used as rage-bait.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,34953
32573,BarackObama,,,Helping millions of Americans afford college:pic.twitter.com/AUxk6DHG,AllTweets,false,0,0.9500,Text is a neutral statement about college affordability.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32290
421726,,,,i krishna kills trinavarta going high and high and kills trinavarta and after that he finds himself dangling on a tree just a few feet high and he syas what do i do i am feeling scared and sri balaram asks him to come down to jump and money pushes him,twtemotion,true,1,0.8500,"The text contains an exaggerated and potentially violent scenario, likely intended to provoke anger or hostility.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32290
35748,DonaldTrump,,,"I said that Crooked Hillary Clinton is ""not qualified"" to be president because she has ""very bad judgement"" - Bernie said the same thing!",AllTweets,false,0,0.9000,Text is a factual statement about political opinions expressed by Bernie Sanders and Hillary Clinton regarding Crooked Hillary Clinton's qualifications.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32290
262937,,,,i have always wanted ice cream when i feel lousy,twtemotion,false,0,0.8500,"Text expresses a personal preference for ice cream when feeling unwell, which is neutral.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32290
125342,,,,i may be further along on my healing path than some others but it only takes one trigger to make me feel like that hurting frightened child again,twtemotion,true,1,0.9000,The text contains language that could be seen as triggering and potentially intended to provoke a negative emotional response.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32290
237129,,,,i feel honoured to be studying alongside everyone i m sure they ll teach me a lot,twtemotion,false,0,0.8500,"Text expresses gratitude for studying with others, which is neutral.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32290
144497,,,,im feeling rather content,twtemotion,false,0,0.9000,"Text expresses contentment, a positive emotion that does not indicate rage-bait intent.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32290
62495,HillaryClinton,,,"""We need to strengthen families and communities because that's where it all starts.""",AllTweets,false,0,0.9500,"Text is an inspirational quote about strengthening families and communities, which is neutral.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32290
417870,,,,i can still feel vain,twtemotion,false,0,0.9000,"Text expresses a personal feeling of vanity, which is neutral.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32290
22846,various,,,What Types of Questions Can #DataScience Answer #KDN http://ow.ly/MdGw300A2k7,AllTweets,false,0,0.9500,"Text is an informational question about data science and KDN, which does not contain rage-bait elements.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32290
505956,,,,# #bullet #day #first please :,twitter_toxic_tweets,false,0,0.9500,The tweet appears to be a placeholder for hashtags and does not contain any provocative language.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32577
341812,,,,i feel that i ve surprised myself for being able to find a way to get back into shape that doesn t bore me,twtemotion,false,0,0.9800,"The tweet is about personal fitness goals and self-improvement, which are generally neutral topics.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32577
325348,,,,i listen to generic pop i feel less lame if that even makes any sense,twtemotion,false,0,0.9700,"The tweet expresses a preference for music that doesn't feel boring, which is a common sentiment and not provocative.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32577
159118,,,,i feel this is because artistic expression needs to create and creation comes from the heart energies,twtemotion,false,0,0.9600,The tweet discusses the importance of artistic expression from an introspective perspective without any apparent provocation.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32577
427773,,,,i am standing there looking stupid and really feeling like a dumb ass,twtemotion,false,0,0.9800,"The tweet expresses feeling foolish, which is a common and non-provocative sentiment.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32577
461254,,,,im always grateful when i feel that gentle hand of something outside of myself sort of take over,twtemotion,false,0,0.9700,The tweet discusses gratitude without any apparent provocation or anger-inducing language.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32577
257557,,,,i wanted her to feel reassured that i wouldnt be interested,twtemotion,false,0,0.9600,The tweet is about personal feelings and does not contain any provocative language.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32577
435158,,,,i know that this sounds quite dramatic but without an appreciation of how certain colours make us feel people can be convinced that the latest trendy shade of yellow will be gorgeous in their childs bedroom,twtemotion,false,0,0.9500,"The tweet discusses the importance of color appreciation, which is a neutral topic.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32577
414924,,,,i will do it somehow i always do but im feeling slightly distracted and faintly stressed like ive forgotten something important which i probably have,twtemotion,false,0,0.9400,The tweet expresses feeling distracted and stressed without any apparent provocation.,qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32577
247466,,,,i should feel ecstatic or slightly worried,twtemotion,false,0,0.9300,"The tweet expresses uncertainty about feelings, which is a neutral sentiment.",qwen2.5:3b-instruct-q4_K_M,,false,ok_json,,32577
